Washington,Seattle,123456
Washington,Columbia,123457
New York,Manhattan,123458
London,Piccadilly,123459
California,Disneyland,123460
Victoria,Victoria,123461
New South Wales,Sydney,123462
Ontario,Ottawa,123463
Quebec,Montreal,123464
France,Paris,123465
Kuala Lumpur,Kuala Lumpur,123466
Amsterdam,Amsterdam,123467
Philippines,Taguig,123468
Western Province,Cape Town,123469
Stockholm County,Stockholm,123470
United States,Phoenix,123471
DELHI,SOUTH EAST DELHI,110003
PUNJAB,JALANDHAR,144028
HIMACHAL PRADESH,KANGRA,176057
UTTAR PRADESH,BUDAUN,243727
RAJASTHAN,DHOLPUR,328023
MAHARASHTRA,MUMBAI,400052
TELANGANA,ADILABAD,504310
KARNATAKA,BELLARY,583219
TAMIL NADU,CHENNAI,600092
KERALA,PALAKKAD,678598
WEST BENGAL,BANKURA,722144
ODISHA,MAYURBHANJ,757048
ASSAM,DIBRUGARH,786622
BIHAR,SIWAN,841233
DELHI,NEW DELHI,110001
DELHI,NORTH DELHI,110006
DELHI,WEST DELHI,110018
PUNJAB,LUDHIANA,141001
PUNJAB,AMRITSAR,143001
PUNJAB,PATIALA,147001
HIMACHAL PRADESH,SHIMLA,171001
HIMACHAL PRADESH,SOLAN,173212
HIMACHAL PRADESH,MANDI,175001
UTTAR PRADESH,LUCKNOW,226001
UTTAR PRADESH,KANPUR NAGAR,208001
UTTAR PRADESH,VARANASI,221001
RAJASTHAN,JAIPUR,302001
RAJASTHAN,JODHPUR,342001
RAJASTHAN,UDAIPUR,313001
MAHARASHTRA,PUNE,411001
MAHARASHTRA,NAGPUR,440001
MAHARASHTRA,NASHIK,422001
TELANGANA,HYDERABAD,500001
TELANGANA,WARANGAL,506002
TELANGANA,KARIMNAGAR,505001
KARNATAKA,BANGALORE URBAN,560001
KARNATAKA,MYSORE,570001
KARNATAKA,BELAGAVI,590001
TAMIL NADU,COIMBATORE,641001
TAMIL NADU,MADURAI,625001
TAMIL NADU,SALEM,636001
KERALA,ERNAKULAM,682001
KERALA,THIRUVANANTHAPURAM,695001
KERALA,KOZHIKODE,673001
WEST BENGAL,KOLKATA,700001
WEST BENGAL,HOWRAH,711101
WEST BENGAL,DARJEELING,734101
ODISHA,KHORDA,751001
ODISHA,CUTTACK,753001
ODISHA,PURI,752001
ASSAM,KAMRUP,781001
ASSAM,JORHAT,785001
ASSAM,CACHAR,788001
BIHAR,PATNA,800001
BIHAR,GAYA,823001
BIHAR,MUZAFFARPUR,842001

